"","taxon","weight"
"1","2WV9_A.pdb",0.021361307702
"2","2FOM_B.pdb",0.061657095603
"3","4M9M_A.pdb",0.100284282085
"4","4M9I_A.pdb",0.100266697924
"5","4M9T_A.pdb",0.091463807085
"6","4M9F_A.pdb",0.091463807085
"7","4M9K_A.pdb",0.100413718784
"8","3L6P_A.pdb",0.03515108917
"9","3LKW_A.pdb",0.07587347672
"10","3U1J_B.pdb",0.033738959134
"11","3U1I_D.pdb",0.035055228929
"12","3U1I_B.pdb",0.044761950491
"13","2WHX_A.pdb",0.035049869071
"14","2VBC_A.pdb",0.035049869071
"15","2WZQ_A.pdb",0.120748188009
"16","2FP7_B.pdb",0.017660653138
