"","taxon","weight"
"1","1GX6_A.pdb",0.008052992805
"2","1CSJ_B.pdb",0.018102442411
"3","1CSJ_A.pdb",0.018102442411
"4","2XWH_A.pdb",0.00757926603
"5","4ADP_A.pdb",0.123052045657
"6","1YUY_A.pdb",0.009413889895
"7","1YV2_A.pdb",0.018759901532
"8","1YVX_A.pdb",0.018759901532
"9","1YVZ_A.pdb",0.019262514501
"10","4E76_A.pdb",0.011069946751
"11","4E78_A.pdb",0.016029045615
"12","4E7A_A.pdb",0.016029045615
"13","3I5K_C.pdb",0.028803869146
"14","3I5K_A.pdb",0.02653375672
"15","3I5K_D.pdb",0.021183648938
"16","3I5K_B.pdb",0.021183648938
"17","4AEX_B.pdb",0.028805825463
"18","2XXD_A.pdb",0.021199299474
"19","4AEX_A.pdb",0.007444520675
"20","2XYM_A.pdb",0.028541892878
"21","4AEP_A.pdb",0.026539625671
"22","3HVO_B.pdb",0.019203010333
"23","3GSZ_B.pdb",0.019203010333
"24","3GSZ_A.pdb",0.020591840906
"25","3HVO_A.pdb",0.012958760308
"26","3HKW_B.pdb",0.019175868159
"27","3HKW_C.pdb",0.018731019418
"28","3HKW_A.pdb",0.018731019418
"29","4KHR_B.pdb",0.019313871617
"30","4KHR_A.pdb",0.019313871617
"31","4KHM_A.pdb",0.018781377163
"32","4KHM_B.pdb",0.018781377163
"33","2XI3_A.pdb",0.020012803308
"34","2XI3_B.pdb",0.020012803308
"35","2XI2_A.pdb",0.023021219828
"36","2XI2_C.pdb",0.018818098065
"37","2XI2_B.pdb",0.018818098065
"38","3QGI_A.pdb",0.018809437171
"39","3QGH_A.pdb",0.018809437171
"40","2AX0_A.pdb",0.024849320359
"41","2AX0_B.pdb",0.025760216965
"42","2AX1_B.pdb",0.020925802353
"43","2AWZ_B.pdb",0.020925802353
"44","2AWZ_A.pdb",0.026741096467
"45","2AX1_A.pdb",0.018193112536
"46","3FQL_A.pdb",0.013646746836
"47","3GOL_A.pdb",0.011421456118
