"","taxon","weight"
"1","2V8O_A.pdb",0.015440043354
"2","2WV9_A.pdb",0.015440043354
"3","2V6J_A.pdb",0.034364956687
"4","2V6I_A.pdb",0.012353357485
"5","1YKS_A.pdb",0.023205759222
"6","1YMF_A.pdb",0.023205759222
"7","2JLR_A.pdb",0.095368862847
"8","2WZQ_A.pdb",0.012737928844
"9","2JLS_A.pdb",0.012311182592
"10","2WHX_A.pdb",0.037227796078
"11","2VBC_A.pdb",0.012328869422
"12","2JLU_A.pdb",0.035045725534
"13","2JLU_B.pdb",0.035045725534
"14","2JLV_B.pdb",0.043713233316
"15","2JLZ_B.pdb",0.046954819784
"16","2JLX_A.pdb",0.048012071407
"17","2JLV_A.pdb",0.047942239807
"18","2JLX_B.pdb",0.046675493385
"19","2JLZ_A.pdb",0.042945085719
"20","2JLW_A.pdb",0.032989718535
"21","2JLW_B.pdb",0.032989718535
"22","2JLQ_A.pdb",0.033014938829
"23","2JLY_B.pdb",0.031479627372
"24","2JLY_A.pdb",0.031479627372
"25","2BHR_B.pdb",0.033599107468
"26","2BMF_A.pdb",0.031674350252
"27","2BMF_B.pdb",0.031674350252
"28","2BHR_A.pdb",0.019983817524
"29","2QEQ_B.pdb",0.016691309524
"30","2QEQ_A.pdb",0.016691309524
"31","2Z83_A.pdb",0.047413171221
