"protein","cr_rho","cr_P","avg_md_rho","avg_md_P","var_md_rho","var_md_P"
"1RD8_AB",0.199294733170793,6.67324340580713e-06,0.182052058273481,4.0045729879705e-05,-0.0487203643905077,0.275443180806736
"2FP7_B",0.3232010232533,6.52829517176647e-05,0.319156341554284,8.14542632569238e-05,-0.108101319803975,0.19247485800268
"2JLY_A",0.304602802361694,3.88204358283127e-11,0.297543558188691,1.13383809176978e-10,-0.0731812384354111,0.120685934367834
"2Z83_A",0.197611721283833,4.00401663516938e-05,0.182239164100765,0.000155548666493115,-0.0822571305402122,0.0899513990660594
"3GOL_A",0.237226043336618,1.4510510208949e-08,0.235943389875821,1.74335100059513e-08,-0.102830731918488,0.0151873880578804
"3LYF_A",0.187249641873355,0.00332554145797292,0.196253803346491,0.00207107347294986,-0.0305993612742948,0.634334963780986
"4AQF_B",0.323123607253609,5.56860630841051e-13,0.33469780887004,7.17715048824803e-14,-0.089704717406338,0.0509631697236968
"4GHA_A",0.0113573823683779,0.901189404590332,0.0302016167961991,0.741226948813038,0.0236577964857547,0.795901401143138
"4IRY_A",0.168763484538206,0.000659087943066925,0.178286676884841,0.00031661989656854,0.0479400858957793,0.336476305843639
"3GSZ_A",0.240837363927582,8.34570965647772e-09,0.238666003870224,1.14433338617316e-08,-0.093746228964676,0.0268020831849805
"3I5K_A",0.235729180587112,1.37915470947976e-08,0.242781383185308,4.8878827066357e-09,-0.113254465768992,0.00699388683817897
"2JLY_A_temp_50",0.304602802361694,3.88204358283127e-11,0.303694103669906,4.46363573902426e-11,-0.0143407665679889,0.761339797350975
"2JLY_A_temp_100",0.304602802361694,3.88204358283127e-11,0.29986018265973,8.00166102903637e-11,-0.0656785705644323,0.163791292079554
"2JLY_A_temp_200",0.304602802361694,3.88204358283127e-11,0.295499205064235,1.53819494735571e-10,-0.156753453775127,0.000836669327594438
"2JLY_A_temp_450",0.304602802361694,3.88204358283127e-11,0.292129349659332,2.5297341282622e-10,-0.0982557431856346,0.0369883582638942
