"protein","rsa_rho","rsa_P","rmsf_rho","rmsf_P","cn13_rho","P"
"1RD8_AB",0.938045178858335,9.52650519628225e-233,0.349592412734059,1.48644000568941e-14,0.972335801708784,1.43590298650841e-318
"2FP7_B",0.950465072544086,1.81284059519408e-75,0.364752041851279,2.10455983951221e-05,0.979503440604711,8.44452794640572e-103
"2JLY_A",0.949131595497824,1.84113462229688e-227,NA,NA,0.979285847978991,1.42155706420491e-313
"2Z83_A",0.942318795303566,1.19371235991427e-203,0.728327227171852,5.23461300281813e-66,0.973322011022497,3.35822864150199e-273
"3GOL_A",0.944047323802707,1.55218960369472e-269,0.397337535675429,2.14366953300956e-22,0.975925536809985,0
"3LYF_A",0.9415054336587,2.63805355056106e-116,NA,NA,0.963836625357266,5.51741118981049e-141
"4AQF_B",0.946524843898003,4.9858072327251e-234,NA,NA,0.977440225588945,6.95644429344475e-321
"4GHA_A",0.980584321817449,9.25915981427476e-87,NA,NA,0.993266104573037,3.42160287749802e-114
"4IRY_A",0.937381382377911,3.12701884081726e-186,NA,NA,0.968057411281167,1.24041277912134e-243
"3GSZ_A",0.962650619492063,1.12412780135675e-317,NA,NA,0.987508327032142,0
"3I5K_A",0.957434343410273,1.56838893267111e-306,NA,NA,0.984153596334892,0
"2JLY_A_temp_50",0.974196931614394,2.10018029815647e-292,NA,NA,0.981657119571777,0
"2JLY_A_temp_100",0.967281563623563,1.36117969060822e-269,NA,NA,0.974204830755748,1.96241580523774e-292
"2JLY_A_temp_200",0.963503835887697,3.99739613820197e-259,NA,NA,0.976349259642481,8.61919076291779e-301
"2JLY_A_temp_450",0.885794949390515,8.4496421389081e-152,NA,NA,0.933284699503401,8.26877932845609e-202
