"protein","bfca_rho","bfca_P"
"1RD8_AB",0.262158919118492,2.37680621017886e-09
"2FP7_B",0.17339118156338,0.0357072789950224
"2JLY_A",0.0933552495301644,0.0475475503290239
"2Z83_A",0.0872547027840256,0.0720095408961114
"3GOL_A",0.128261461918276,0.00242284582643541
"3LYF_A",0.0268989105210761,0.675879519523315
"4AQF_B",0.131914526518006,0.00401498775364913
"4GHA_A",0.033678756434545,0.712672644527233
"4IRY_A",0.115755342399252,0.0199507516333719
"3GSZ_A",0.219776151568213,1.56990351046844e-07
"3I5K_A",0.129513831606112,0.00201893368059671
