"protein","r.entropy_rsa_avg_md","p.entropy_rsa_avg_md","r.entropy_wcn_avg_md","p.entropy_wcn_avg_md","r.entropy_cn13_avg_md","p.entropy_cn13_avg_md","r.entropy_chi1_var_md","p.entropy_chi1_var_md","r.entropy_rmsf_avg_md","p.entropy_rmsf_avg_md","r.entropy_bfca","p.entropy_bfca","r.omega_rsa_avg_md","p.omega_rsa_avg_md","r.omega_wcn_avg_md","p.omega_wcn_avg_md","r.omega_cn13_avg_md","p.omega_cn13_avg_md","r.omega_chi1_var_md","p.omega_chi1_var_md","r.omega_rmsf_avg_md","p.omega_rmsf_avg_md","r.omega_bfca","p.omega_bfca"
"1RD8_AB",0.28378671707236,9.01649957526463e-11,0.182052058273481,4.0045729879705e-05,-0.22347010910788,4.11374775932082e-07,0.243147766730109,3.02280629515308e-07,0.0707098715265296,0.113217706508461,0.262158919118492,2.37680621017886e-09,0.198359381642181,7.38484713197496e-06,0.114674372799103,0.0100537384059711,-0.154652286851621,0.000499875099948866,0.191170542172868,6.24161468032162e-05,0.028977995917416,0.51670820853548,0.241916660981577,3.93068270892924e-08
"2FP7_B",0.314851174428761,0.000102737242730783,0.319156341554284,8.14542632569238e-05,-0.348085665180135,1.55904154920348e-05,0.292081016629617,0.0013963825276264,0.219003780420146,0.0076978003956847,0.17339118156338,0.0357072789950224,0.138422838144786,0.0945204654324597,0.150011050702385,0.0697490561814103,-0.160585665209228,0.0520154760827365,0.109084539747996,0.241695797974157,0.167029039643462,0.0431702420970578,0.179652833276175,0.0294561864416574
"2JLY_A",0.293002982833258,2.22501171838774e-10,0.297543558188691,1.13383809176978e-10,-0.288977989116902,4.00474567400876e-10,0.18315227669657,0.000292267533801852,0.0677387297758349,0.150942874013786,0.0933552495301644,0.0475475503290239,0.193780987578236,3.42496999367981e-05,0.238666908760733,2.91676234945029e-07,-0.208725358940038,7.83390844182077e-06,0.0555379944624881,0.275771246838305,0.0226609417582233,0.63124794168332,0.0603867183911547,0.200535377232906
"2Z83_A",0.181245767412942,0.000169185264257426,0.182239164100765,0.000155548666493115,-0.179963929304883,0.00018844005151468,0.0743610468321638,0.162690435420908,0.149077694863129,0.00203452786895433,0.0872547027840256,0.0720095408961114,0.0429383616979665,0.376673759313441,0.0720377959947482,0.137701837882959,-0.0544616677396234,0.262030031749106,-0.0681629010030768,0.200745704047753,0.0606150000680287,0.211829037308265,0.019144809700391,0.693566638722067
"3GOL_A",0.335916432633521,3.69828665085943e-16,0.235943389875821,1.74335100059513e-08,-0.25087581080803,1.92682179220369e-09,0.289608488225174,1.3628041915681e-10,0.0553696238108933,0.191948854635408,0.128261461918276,0.00242284582643541,0.327059924648737,2.36733702661719e-15,0.246655026429192,3.64425923895659e-09,-0.245563024989209,4.28933465863903e-09,0.252966835631363,2.43176593348781e-08,0.052731773741097,0.214021394365114,0.105036115944029,0.0131295276692403
"3LYF_A",0.208289284139535,0.00106470780793695,0.196253803346491,0.00207107347294986,-0.205649929705709,0.0012359227794803,0.0713699478465802,0.31894815360219,0.051743420314546,0.421023532171531,0.0268989105210761,0.675879519523315,0.0672555319675898,0.295396937446968,0.0399078860776115,0.534976550066504,-0.0447310674320312,0.486753389594256,-0.0876704894716924,0.220558837080404,0.0294463409600394,0.647165211646679,-0.0326084196069716,0.612239702055328
"4AQF_B",0.35400182810591,1.9332354574874e-15,0.33469780887004,7.17715048824803e-14,-0.312813970538819,3.21271934120083e-12,0.196653433931456,7.35599828568756e-05,0.25170704304893,2.77181455168896e-08,0.131914526518006,0.00401498775364913,0.190663263782183,2.93483430928592e-05,0.184242589201619,5.45441921461293e-05,-0.156853309739211,0.000609933427449278,0.1304837705539,0.00889739223602902,0.133825094971885,0.00351126602965283,0.0567335633096678,0.217609710556275
"4GHA_A",-0.0210066346086775,0.818353954460969,0.0302016167961991,0.741226948813038,-0.00448555842599121,0.960891549487603,-0.21328791656697,0.0313669371884873,0.0441421590623595,0.629250348257966,0.033678756434545,0.712672644527233,-0.106750099792724,0.241879198798812,-0.0642209566046781,0.482200823052777,0.081133864964785,0.374329316355414,-0.169082699338558,0.0893454694726059,0.0559629359391754,0.540373980023807,-0.0938503252829888,0.303850705806162
"4IRY_A",0.164460050184614,0.000906698359037759,0.178286676884841,0.00031661989656854,-0.132594382551368,0.00761569809500558,0.162564191268942,0.00252897504380552,0.0710584113424449,0.153974126582646,0.115755342399252,0.0199507516333719,0.0637517682404488,0.200993770215478,0.0638879974002042,0.200030925121437,-0.0220132187238972,0.659109670876144,0.0736562082823009,0.173513151380865,-0.0273882431269884,0.583078092498838,0.0120948152497919,0.808502468942331
"3GSZ_A",0.338826331495542,1.86417056868368e-16,0.238666003870224,1.14433338617316e-08,-0.256889933555966,7.35318829086221e-10,0.261620990750483,7.38803327553735e-09,0.0640530205717407,0.130732118748451,0.219776151568213,1.56990351046844e-07,0.334727448254892,4.48314626211347e-16,0.254582951577079,1.05349445997655e-09,-0.256505853331254,7.80872736706454e-10,0.224078466433975,8.28799616614641e-07,0.0803510229753427,0.0578457072884446,0.20019516271992,1.87222626345821e-06
"3I5K_A",0.354529839445361,3.31688697583893e-18,0.242781383185308,4.8878827066357e-09,-0.252081384337789,1.18363913898201e-09,0.304454814720883,8.94889335035551e-12,0.0717243306213966,0.0882317751418159,0.129513831606112,0.00201893368059671,0.352215974707901,5.65399501382511e-18,0.255183129221668,7.28153320281101e-10,-0.252549881938519,1.10034708015028e-09,0.306079960201872,6.85082083429613e-12,0.0677089168311324,0.107587462693145,0.123041945275745,0.00336854781473877
