"protein","r.rsa","p.rsa","r.cn13","p.cn13","r.wcn","p.wcn","r.rmsf","p.rmsf"
"1RD8_AB",0.938045178858335,"9.52650519628225e-233",0.972335801708784,"1.43590298650841e-318",0.982330132676112,"0",0.451646035878166,"2.09408529840933e-12"
"2FP7_B",0.950465072544086,"1.81284059519326e-75",0.979503440604711,"8.44452794640572e-103",0.985277561598501,"0",0.541783277090364,"7.15962081163289e-12"
"2JLY_A",0.949131595497824,"1.84113462229688e-227",0.979285847978991,"1.42155706420491e-313",0.984028039973478,"0",0.721981991700531,"2.32482507150616e-64"
"2Z83_A",0.942318795303566,"1.19371235991427e-203",0.973322011022497,"3.35822864150199e-273",0.981066517311387,"2.04989031377912e-304",0.714340413532312,"1.95259078784814e-62"
"3GOL_A",0.944047323802707,"1.55218960369437e-269",0.975925536809985,"0",0.987168910078451,"0",0.364974065620712,"7.78366218127586e-19"
"3LYF_A",0.9415054336587,"2.63805355056106e-116",0.963836625357266,"5.51741118981049e-141",0.976280085647445,"8.05891784878741e-163",0.217825202497236,"0.000697280617894596"
"4AQF_B",0.946524843898003,"4.98580723272396e-234",0.977440225588945,"6.95644429344475e-321",0.990587946898572,"0",NA,NA
"4GHA_A",0.980584321817449,"9.25915981427476e-87",0.993266104573037,"3.42160287749802e-114",0.994792165778317,"0",NA,NA
"4IRY_A",0.937381382377911,"3.12701884081726e-186",0.968057411281167,"1.24041277912134e-243",0.972751910453742,"2.65221325996454e-257",NA,NA
"MEAN",0.94777821641762,"NA",0.975885889436154,"NA",0.983809252268445,"NA",0.50209183105322,"NA"
"STDEV",0.0123502638086156,"NA",0.00785127191396062,"NA",0.00640077893549638,"NA",0.181259542443535,"NA"
