"protein","desent_rho","desent_P"
"1RD8_AB",0.112704301465917,0.0114235271844081
"2FP7_B",0.169668149417792,0.0399296470902317
"2JLY_A",0.169325726151364,0.000303767301237242
"2Z83_A",0.0275420868736705,0.570782436306297
"3GOL_A",0.218959635732355,1.79415140522661e-07
"3LYF_A",0.0173487069688803,0.7874493957228
"4AQF_B",0.217110266246307,1.82972695937959e-06
"4GHA_A",0.0651842099452066,0.475641335169197
"4IRY_A",0.13955497015625,0.00495272867749473
"3GSZ_A",0.208031621962978,7.14260616043872e-07
"3I5K_A",0.242864190778637,4.82777162257787e-09
"2JLY_A_temp_50",0.169325726151364,0.000303767301237242
"2JLY_A_temp_100",0.169325726151364,0.000303767301237242
"2JLY_A_temp_200",0.169325726151364,0.000303767301237242
"2JLY_A_temp_450",0.169325726151364,0.000303767301237242
