"protein","bfca_rho","bfca_P"
"1RD8_AB",0.370054939142341,9.0456873580201e-18
"2FP7_B",0.594492487629347,2.04721024755938e-15
"2JLY_A",0.485864018481846,4.28853405861705e-28
"2Z83_A",0.527100554894247,7.84191113000826e-32
"3GOL_A",0.0969846220126299,0.0220691340720519
"3LYF_A",0.587952338705284,4.43516689362455e-24
"4AQF_B",0.266410360040125,3.82339277409747e-09
"4GHA_A",0.455232487064621,1.3776081773212e-07
"4IRY_A",0.747053312535912,2.73983416954183e-73
"3GSZ_A",0.425997796364411,5.24045082641078e-26
"3I5K_A",0.197868771324963,2.0951437914372e-06
