"","queryid","subjectids","identity","positives","alignmentlength","mismatches","gapopens","q.start","q.end","s.start","s.end","evalue","bitscore"
"1","unnamed","gi|93279704|pdb|2FP7|B","96.71","96.71","152"," 0","1","  1","147","  4","155","1.0e-102","295.0"
"2","unnamed","gi|471270297|pdb|2YOL|A","96.71","96.71","152"," 0","1","  1","147"," 79","230","2.0e-101","294.0"
"3","unnamed","gi|149242179|pdb|2IJO|B","94.08","96.05","152"," 4","1","  1","147"," 19","170"," 3.0e-99","287.0"
"4","unnamed","gi|221046696|pdb|3E90|B","94.08","96.05","152"," 4","1","  1","147"," 23","174"," 5.0e-99","287.0"
"5","unnamed","gi|221046698|pdb|3E90|D","94.08","96.05","152"," 4","1","  1","147"," 23","174"," 5.0e-99","287.0"
"6","unnamed","gi|145579386|pdb|2GGV|B","93.42","95.39","152"," 5","1","  1","147"," 18","169"," 4.0e-98","284.0"
"7","unnamed","gi|270047579|pdb|2WV9|A","76.32","84.87","152","31","1","  1","147"," 73","224"," 1.0e-74","238.0"
"8","unnamed","gi|290560467|pdb|3L6P|A","56.95","72.19","151","60","1","  1","146"," 69","219"," 8.0e-58","183.0"
"9","unnamed","gi|290560505|pdb|3LKW|A","56.29","72.19","151","61","1","  1","146"," 69","219"," 2.0e-57","182.0"
"10","unnamed","gi|293651725|pdb|2WHX|A","56.58","72.37","152","61","1","  1","147"," 19","170"," 4.0e-54","182.0"
"11","unnamed","gi|293651728|pdb|2WZQ|A","55.92","72.37","152","62","1","  1","147"," 19","170"," 2.0e-53","180.0"
"12","unnamed","gi|159795581|pdb|2VBC|A","55.92","72.37","152","62","1","  1","147"," 19","170"," 2.0e-53","180.0"
"13","unnamed","gi|93279693|pdb|2FOM|B","55.33","70.00","150","62","1","  3","147"," 21","170"," 2.0e-52","167.0"
"14","unnamed","gi|356624668|pdb|3U1I|B","55.78","68.03","147","60","1","  3","144"," 30","176"," 4.0e-52","167.0"
"15","unnamed","gi|356624670|pdb|3U1I|D","55.78","68.03","147","60","1","  3","144"," 30","176"," 4.0e-52","167.0"
"16","unnamed","gi|356624672|pdb|3U1J|B","55.78","68.03","147","60","1","  3","144"," 30","176"," 4.0e-52","167.0"
"17","unnamed","gi|560189047|pdb|4M9K|A","55.33","70.00","150","62","1","  3","147"," 83","232"," 5.0e-52","169.0"
"18","unnamed","gi|560189048|pdb|4M9M|A","55.33","70.00","150","62","1","  3","147"," 83","232"," 5.0e-52","169.0"
"19","unnamed","gi|560189045|pdb|4M9F|A","54.67","69.33","150","63","1","  3","147"," 83","232"," 3.0e-51","167.0"
"20","unnamed","gi|560189046|pdb|4M9I|A","54.67","69.33","150","63","1","  3","147"," 83","232"," 3.0e-51","167.0"
